time,mode,center_x,center_y,center_z,formation_error,min_obstacle_clearance,min_agent_distance,energy,path_length,max_height,avg_force_norm,min_pair_distance
0.0,column,-5.4,0.0,1.2,0.794399688893766,4.834794548272353,0.8037115436470766,1.8297747946611065,0.03192920950978327,1.2,2.5543367607826637,0.8037115436470766
0.05,column,-5.3790000000000004,0.0,1.2,0.7818599783314818,4.827343029738032,0.8112512198552672,3.6443565364542945,0.09520640168923385,1.2,2.5080064508932245,0.8112512198552672
0.1,column,-5.3580000000000005,0.0,1.2,0.7639558679078702,4.812449736085711,0.8227956765170197,5.447756112092668,0.18912676435165637,1.2,2.4521503644349516,0.8227956765170197
0.15000000000000002,column,-5.337000000000001,0.0,1.2,0.7409588975049533,4.790135053476997,0.8385848960807839,7.249152591968789,0.313442188036091,1.2,2.433424301053245,0.8385848960807839
0.2,column,-5.316,0.0,1.2,0.7136773255448887,4.760430162791585,0.8589238689801285,9.04987653977326,0.4680191255843129,1.2,2.424065706795692,0.8589238689801285
0.25,column,-5.295000000000001,0.0,1.2,0.6844444537054463,4.723341821150378,0.8854356419640214,10.850134660185141,0.652497242645268,1.2,2.414369980149732,0.8854356419640214
0.30000000000000004,column,-5.274,0.0,1.2,0.6550757549730492,4.678878045065684,0.9190508287831572,12.45011898705313,0.8633293776514502,1.2,2.3091409957441003,0.9190508287831572
0.35000000000000003,column,-5.253,0.0,1.2,0.6258325660314613,4.627048086579299,0.9591112047682178,13.941886879975119,1.080282851183023,1.2,2.381175444284099,0.9591112047682178
0.4,column,-5.232,0.0,1.2,0.5980485323150371,4.57524241336206,1.0058985902703834,15.604284305585056,1.3044741401421591,1.2,2.540619253784224,1.0058985902703834
0.45,column,-5.211,0.0,1.2,0.5721957702407381,4.52347337844409,1.0584503001914571,17.42456031272336,1.535419543790742,1.2,2.6528080192151444,1.0584503001914571
0.5,column,-5.1899999999999995,0.0,1.2,0.5487816056343361,4.4717373431914496,1.1163316960330871,18.817819502982363,1.773704726952631,1.2,2.1817933052634726,1.1163316960330871
0.55,column,-5.1690000000000005,0.0,1.2,0.5280388199229428,4.420030825718113,1.1781609781033688,20.072895263743675,2.019264068463309,1.2,2.0993942486312998,1.1781609781033688
0.6000000000000001,column,-5.148,0.0,1.2,0.5100930850466311,4.368351341901233,1.2129401611739772,21.566056370460306,2.2704969266035375,1.2,2.265481382862116,1.2129401611739772
0.65,column,-5.127,0.0,1.2,0.4941187294968333,4.316698149778109,1.1936695376669662,23.229442778995526,2.524400520075702,1.2,2.51913434031009,1.1936695376669662
0.7000000000000001,column,-5.106,0.0,1.2,0.47964824057435623,4.265353296389123,1.1878720339936295,25.026297042622147,2.775159553895391,1.2,2.6377831255471937,1.1878720339936295
0.75,column,-5.085000000000001,0.0,1.2,0.46758570784451825,4.214340245193085,1.195110123825729,26.40638042953658,3.020362677038772,1.2,2.227891109062697,1.195110123825729
0.8,column,-5.064000000000001,0.0,1.2,0.45948214310505603,4.163994494112918,1.2143720743954844,27.746926513810124,3.2601151771040393,1.2,2.174549235286892,1.2143720743954844
0.8500000000000001,column,-5.043,0.0,1.2,0.4569004890743136,4.114382309519522,1.2439485858338595,29.27506022665782,3.488794275767362,1.2,2.3981219358099692,1.2439485858338595
0.9,column,-5.022000000000001,0.0,1.2,0.45787528424822216,4.070210702524377,1.2858629613459782,30.759996570162336,3.7068285212129926,1.2,2.3481020993862396,1.2858629613459782
0.9500000000000001,column,-5.001,0.0,1.2,0.4615210429229871,4.031300281277591,1.2915410508979268,32.201382469327136,3.9148514667248877,1.2,2.2970435198501913,1.2915410508979268
1.0,column,-4.98,0.0,1.2,0.4674952247907604,3.997447940814193,1.292780355040145,33.6009902817872,4.113895946119962,1.2,2.2491107418579817,1.292780355040145
1.05,column,-4.9590000000000005,0.0,1.2,0.4750572131908247,3.968430011553817,1.268199717283844,34.96345596727474,4.305292206471883,1.2,2.210782800208429,1.268199717283844
