strategy,mean_formation_error,min_agent_distance,min_obstacle_clearance,energy,path_length,max_height,last_mode
fixed,0.2427,0.7678,0.7158,105.39,98.5,1.2,normal
adaptive,0.2427,0.7678,0.7158,105.39,98.5,1.2,normal
