time,mode,center_x,center_y,formation_error,min_obstacle_clearance,min_agent_distance,energy,path_length,max_height,avg_force_norm
0.0,normal,-5.2,0.0,0.0,3.509215610874228,0.7678026813146706,1.5762657782081257,0.029016475418303142,1.2,2.3213180334642978
0.05,normal,-5.183,0.0,0.01694583154755795,3.5082188795938656,0.783559933025506,3.1428763551766306,0.08708683849964435,1.2,2.3243781335824565
0.1,normal,-5.166,0.0,0.034457947316564,3.506080390797309,0.8072615903383349,4.582424006095771,0.17322444790174313,1.2,2.245626650825668
0.15000000000000002,normal,-5.149000000000001,0.0,0.05367552539830287,3.5025742390056767,0.8385045493300501,5.8238817745477345,0.2857168405653546,1.2,2.108987286387408
0.2,normal,-5.132000000000001,0.0,0.07602247608972587,3.497419631142299,0.8771007069804803,6.861418241512575,0.4225809858986933,1.2,1.953206050975187
0.25,normal,-5.115,0.0,0.10233959751817731,3.4903137605997587,0.9254644957584521,7.447544530691239,0.5742425503839478,1.2,1.4743252253565227
0.30000000000000004,normal,-5.098,0.0,0.13086135907956623,3.480970360203541,0.9843829954695901,8.052614380113102,0.7316112000379529,1.2,1.2529658268361499
0.35000000000000003,normal,-5.0809999999999995,0.0,0.1594489501349266,3.469210130032425,1.0533625141257863,8.791002313314927,0.8909389969608094,1.2,1.5754904635103868
0.4,normal,-5.064,0.0,0.18700597270979363,3.455069371869776,1.1313836886085353,9.458352193222767,1.0520786526976238,1.2,1.515152156617869
0.45,normal,-5.047,0.0,0.2134136184980108,3.438819399501863,1.2119917676363372,9.831366374117867,1.209864780929307,1.2,1.1663781287860453
0.5,normal,-5.03,0.0,0.23819401466876933,3.42090007504338,1.2210583973210893,10.276977367909634,1.356031843009943,1.2,1.2147076830866186
0.55,normal,-5.013,0.0,0.2604479680271377,3.401834616347424,1.2302762991836564,10.779419923371137,1.4892127976568603,1.2,1.2288305611113381
0.6000000000000001,normal,-4.9959999999999996,0.0,0.27999762701331166,3.382155937786341,1.23942167061427,11.26858808218524,1.6095840979924345,1.2,1.1722382534689444
0.65,normal,-4.979,0.0,0.29686420371963224,3.362354334780509,1.247968739493613,11.744849365794146,1.7176192938302028,1.2,1.167476805322707
0.7000000000000001,normal,-4.962000000000001,0.0,0.3111129499398645,3.3428468439397987,1.2556622500318835,12.203753206509987,1.8141345753102258,1.2,1.1670950114563075
0.75,normal,-4.945,0.0,0.32285434261824053,3.3239664825182436,1.2624465117363846,12.639243341127067,1.9006785804173454,1.2,1.1381449273739705
0.8,normal,-4.928,0.0,0.33216570244923765,3.3057628258492144,1.2683303677936077,13.047151010385733,1.979430971586598,1.2,1.0977874514276038
0.8500000000000001,normal,-4.9110000000000005,0.0,0.33912801005717047,3.288206861192757,1.2733093880164685,13.424933745200908,2.0530836327639777,1.2,1.0528351649763774
0.9,normal,-4.894,0.0,0.34383834867521224,3.2712671306872396,1.2774219968557536,13.770821967453463,2.124498590461413,1.2,1.0038451117438068
0.9500000000000001,normal,-4.877,0.0,0.34640759353253997,3.2549100744309927,1.2807155270380948,14.083791474773413,2.196203582252866,1.2,0.9513707147298298
1.0,normal,-4.86,0.0,0.3469586554475411,3.2391003669773797,1.2832277304180855,14.363519640188859,2.2700979477365517,1.2,0.8959590659556685
1.05,normal,-4.843000000000001,0.0,0.3456251057726146,3.2238012455058103,1.2850005896943364,14.6103282820616,2.347460444821529,1.2,0.838148742267982
1.1,normal,-4.8260000000000005,0.0,0.3425500879642504,3.2089748280876575,1.2860793171094136,14.825116157682524,2.429080375382636,1.2,0.7784683029787838
1.1500000000000001,normal,-4.809,0.0,0.3378854581541484,3.1945824206218916,1.286511433949098,15.009283958931611,2.5153826047418026,1.2,0.7174357333016792
1.2000000000000002,normal,-4.792,0.0,0.33179110708961285,3.1805848111698127,1.2863459326087665,15.16465455051538,2.6065204421892383,1.2,0.6555592959836868
1.25,normal,-4.775,0.0,0.32443440177204913,3.166942550570642,1.2856325222156029,15.293391000920812,2.7024449009554266,1.2,0.5933406284319458
1.3,normal,-4.758000000000001,0.0,0.3159896437497819,3.153616218369458,1.284420958051815,15.397914723948734,2.802958640223513,1.2,0.5312816485961738
1.35,normal,-4.741,0.0,0.30663736629078053,3.140566673235245,1.2827604542863047,15.480825784949191,2.9077585067313105,1.2,0.4698982547072285
1.4000000000000001,normal,-4.724,0.0,0.29656318267946014,3.1277552871893812,1.2698602913279646,15.54482714073067,3.016468762990034,1.2,0.4097465165943154
1.4500000000000002,normal,-4.707,0.0,0.28595576935584105,3.1151441631030083,1.2449576027937004,15.592654285016604,3.1286667316097585,1.2,0.3514715155622946
1.5,normal,-4.6899999999999995,0.0,0.27500347973326283,3.1026963350552066,1.2197552597386607,15.627277568347901,3.244012369882681,1.2,0.29934666398214427
1.55,normal,-4.673,0.0,0.26387337065744776,3.0903759512721853,1.1960863127845882,15.665631022424549,3.3617492256688246,1.2,0.3572496169191271
1.6,normal,-4.656,0.0,0.2527682520597634,3.0781484394904917,1.1757486620954167,15.77090207961317,3.4814355218283883,1.2,0.5772977309793227
1.6500000000000001,normal,-4.639,0.0,0.2417659158816637,3.065980654704278,1.160173006032624,16.0003506122156,3.603351795504383,1.2,0.8465905748544016
1.7000000000000002,normal,-4.622,0.0,0.23082145230407747,3.053841009367498,1.151471431093237,16.35704666328616,3.7282261472125136,1.2,1.0501398502071948
1.75,normal,-4.6049999999999995,0.0,0.21987107670181386,3.041699586226387,1.1500037311081448,16.77940082360038,3.8551301194533796,1.2,1.1422730937419228
1.8,normal,-4.588,0.0,0.2091871104971827,3.029528234055441,1.1350160889566496,17.313388409465297,3.9818159674431994,1.2,1.3424602592241341
1.85,normal,-4.571,0.0,0.19918885732961436,3.016825377289175,1.108534375458662,18.14123197028589,4.105146942864759,1.2,1.632265565672666
1.9000000000000001,normal,-4.554,0.0,0.19049675479307177,3.0029468829587707,1.0952094939965011,18.982533667345248,4.225864600068728,1.2,1.607336710454025
1.9500000000000002,normal,-4.537,0.0,0.18332953023131943,2.987180900944404,1.0946164487699677,19.74054291383618,4.346885695165729,1.2,1.5023718966568063
2.0,normal,-4.5200000000000005,0.0,0.1779470653957679,2.968832844875344,1.1062487343337541,20.458571948493933,4.471676587051242,1.2,1.4752273528152116
2.0500000000000003,normal,-4.503,0.0,0.1747964782353483,2.947341639566311,1.1295039303216843,21.14418999395329,4.602948381351174,1.2,1.4805205935973065
2.1,normal,-4.486000000000001,0.0,0.17421656698310928,2.922401100498675,1.1604763369769877,21.543218284785517,4.739975345230365,1.2,1.1877180176060154
2.15,normal,-4.469,0.0,0.17566587787036414,2.894044669460574,1.1836103002593175,21.70255481399098,4.879583787531804,1.2,0.7389619039146347
2.2,normal,-4.452000000000001,0.0,0.17800042983061895,2.8626577294728053,1.1922849977495025,21.802019483233625,5.018916707088074,1.2,0.5824915730172744
2.25,normal,-4.4350000000000005,0.0,0.18024300016696584,2.828912395540935,1.2026609599137745,21.914341056754054,5.156067037489227,1.2,0.6494551409310798
2.3000000000000003,normal,-4.418,0.0,0.18179323401146635,2.793653127500657,1.2141455291293517,22.035061133776765,5.290292657126992,1.2,0.6102127121473077
2.35,normal,-4.401000000000001,0.0,0.18243704485793288,2.7577743325032236,1.2169257388952086,22.141507281173435,5.421590428527718,1.2,0.5329887176173854
2.4000000000000004,normal,-4.384,0.0,0.18225301055480714,2.722121141234102,1.216441963454139,22.24704999912075,5.549932720001676,1.2,0.5727734926665761
2.45,normal,-4.367,0.0,0.18477466100243395,2.6874254546689293,1.2156290129901597,22.357245973727505,5.675080190195401,1.2,0.6035399798775302
2.5,normal,-4.35,0.0,0.19000361493449358,2.6542778902731357,1.2145743776713935,22.472769921669947,5.796911810842459,1.2,0.6189706916256302
2.5500000000000003,normal,-4.333,0.0,0.19396301110036845,2.623129235268628,1.2133862857053666,22.582659230497775,5.915660611270813,1.2,0.6003929078355538
2.6,normal,-4.316,0.0,0.19665445930122774,2.5940481189770574,1.2121834386052952,22.68318182979899,6.031637650009289,1.2,0.5706193181757644
2.6500000000000004,normal,-4.2989999999999995,0.0,0.19814461619435592,2.5669944838691956,1.2110842879802333,22.774433226395626,6.1451220702101805,1.2,0.5393131421883802
2.7,normal,-4.282,0.0,0.1985139445500282,2.54191768880837,1.2101966660850474,22.856684184822672,6.256359016418607,1.2,0.5074588002098361
2.75,normal,-4.265000000000001,0.0,0.19785035356897016,2.5187574716578203,1.2090390103246091,22.930264013820825,6.365557895790817,1.2,0.47572042534438025
2.8000000000000003,normal,-4.248,0.0,0.19624486367499347,2.497444912920918,1.2080683231068916,22.995482851883093,6.472890441025073,1.2,0.44440336756502496
2.85,normal,-4.231,0.0,0.19378809635628835,2.4779033938598625,1.2076516753381672,23.052615196310008,6.5784887039943785,1.2,0.41356284210989075
2.9000000000000004,normal,-4.214,0.0,0.19056755660085173,2.4600495431942813,1.207789251017794,23.09840796620801,6.68235017080964,1.2,0.36875412437753163
2.95,normal,-4.197,0.0,0.18669691249146675,2.443794167122329,1.2083321138822325,23.124102811810484,6.783882984479578,1.2,0.25919732493393477
3.0,normal,-4.18,0.0,0.18245076516010308,2.4290431580186365,1.1893217349924061,23.151743702970037,6.882247570402997,1.2,0.28110027742703475
3.0500000000000003,normal,-4.163,0.0,0.17814397073814267,2.415698377734766,1.1717033915595472,23.213067506083416,6.976656735753733,1.2,0.4233546087877298
3.1,normal,-4.146,0.0,0.17409098512839857,2.403658511951577,1.1591472209926579,23.332408604002897,7.0667488945656025,1.2,0.559109148730213
3.1500000000000004,normal,-4.129,0.0,0.17056850303450669,2.392819892506055,1.1528876579677465,23.504241003582173,7.152976005076585,1.2,0.6418393682384549
3.2,normal,-4.112,0.0,0.16778544080134003,2.383007741956842,1.1532413053993478,23.68674063992834,7.236636556771777,1.2,0.6328494702536973
3.25,normal,-4.095,0.0,0.16588086531944396,2.373800003470379,1.1595291212218153,23.83488784512057,7.318862174595437,1.2,0.5669071878600913
3.3000000000000003,normal,-4.077999999999999,0.0,0.16485043991218218,2.364762525563779,1.1703073002139732,23.926918695440047,7.400311844973548,1.2,0.48654675943057296
