time,mode,center_x,center_y,center_z,formation_error,min_obstacle_clearance,min_agent_distance,energy,path_length,max_height,avg_force_norm
0.0,column,-5.4,0.0,1.05,0.794399688893766,4.830749451511088,0.8037115436470766,1.8297747946611065,0.03192920950978327,1.05,2.5543367607826637
0.05,column,-5.379028750374134,0.0,1.05,0.7818693063808836,4.823396900165081,0.8112511674223536,3.6443579983405323,0.09520647248678185,1.05,2.508011864827623
0.1,column,-5.358057500748267,0.0,1.05,0.7639742134581244,4.808708083512252,0.8227954593176942,5.447759021299339,0.18912705137842684,1.05,2.452161464387471
0.15000000000000002,column,-5.337086251122401,0.0,1.05,0.7409868515967561,4.786715690636839,0.8385843312606251,7.2491569502786355,0.3134429207549813,1.05,2.4334416384682003
0.2,column,-5.316115001496534,0.0,1.05,0.7137211781008683,4.757467418011093,0.8589226889660398,9.049882445747484,0.4680206275604963,1.05,2.42409141704172
0.25,column,-5.295143751870668,0.0,1.05,0.6845203282057503,4.720975792151265,0.8854331650001089,10.850142086512875,0.6525000577201507,1.05,2.4144122382825195
0.30000000000000004,column,-5.274172502244802,0.0,1.05,0.6551792148460638,4.677255941209376,0.9190466975674276,12.450180704799546,0.8633349703586474,1.05,2.309215905287233
0.35000000000000003,column,-5.253201252618935,0.0,1.05,0.6259552267188816,4.626325639871144,0.9591048986791278,13.941982208017963,1.0802933194581819,1.05,2.381217044070314
0.4,column,-5.23223000299307,0.0,1.05,0.5981847472584076,4.57545022014811,1.0058875080784782,15.60443291324659,1.3044881775913675,1.05,2.5406605616154527
0.45,column,-5.211258753367202,0.0,1.05,0.5723408545842362,4.524640630039726,1.0584335338326436,17.424965058247388,1.5354381231233534,1.05,2.652975276265834
0.5,column,-5.190287503741336,0.0,1.05,0.5489304823306721,4.473891791850439,1.116308202173629,18.818499852055993,1.773728913192679,1.05,2.1819774721420013
0.55,column,-5.16931625411547,0.0,1.05,0.5281862114679748,4.423198951096544,1.178131425028311,20.074024016687158,2.0192954847709528,1.05,2.0997255613047487
0.6000000000000001,column,-5.148345004489603,0.0,1.05,0.5102340845046281,4.3725588646342795,1.2129201006777965,21.56703387125375,2.270538460836218,1.05,2.265356911587336
0.65,column,-5.127373754863738,0.0,1.05,0.4942487749870731,4.321970846010791,1.1936484892647472,23.230103318288503,2.524454609623543,1.05,2.518906099970861
0.7000000000000001,column,-5.10640250523787,0.0,1.05,0.47976178430701194,4.2718317409438695,1.187848726727571,25.02706321709826,2.7752209977186424,1.05,2.637922221650676
0.75,column,-5.085431255612004,0.0,1.05,0.46767803389149976,4.222158883904149,1.1950855068828556,26.407198762852737,3.0204334055014064,1.05,2.2279709870245967
0.8,column,-5.064460005986138,0.0,1.05,0.45955831955654897,4.1733741912377305,1.2143472827391197,27.747769526356976,3.2601973321739894,1.05,2.1746128143784182
0.8500000000000001,column,-5.043488756360271,0.0,1.05,0.45698822003539,4.125531752366861,1.2439247218153988,29.276196425628832,3.488887154676405,1.05,2.3984389245904807
0.9,column,-5.022517506734406,0.0,1.05,0.4579834737255245,4.082947854650437,1.2858392926170161,30.76137993065496,3.7069317452997343,1.05,2.3483753995429786
0.9500000000000001,column,-5.001546257108539,0.0,1.05,0.461637705655059,4.045435098775545,1.2915074409951104,32.202959182702955,3.91496495423935,1.05,2.2972497882060487
1.0,column,-4.980575007482672,0.0,1.05,0.4676098462304867,4.01278497968035,1.2927835426301544,33.60269737111204,4.11401919988088,1.05,2.2492182590741403
1.05,column,-4.959603757856806,0.0,1.05,0.4751630456824631,3.9847710409831594,1.2681874184928008,34.96522031667087,4.3054264319106235,1.05,2.2107633940582825
1.1,column,-4.93863250823094,0.0,1.05,0.48409015110852077,3.9611518137357518,1.2388344997987704,36.27240448332634,4.491602877115485,1.05,2.1588709725286823
