time,mode,center_x,center_y,center_z,formation_error,min_obstacle_clearance,min_agent_distance,energy,path_length,max_height,avg_force_norm
0.0,column,-5.4,0.0,1.2,0.794399688893766,2.6705890714493705,0.8037115436470766,1.8297747946611065,0.03192920950978327,1.2,2.5543367607826637
0.05,column,-5.3790000000000004,0.0,1.2,0.7818599783314818,2.6633208978015634,0.8112512198552672,3.6443565364542945,0.09520640168923385,1.2,2.5080064508932245
0.1,column,-5.3580000000000005,0.0,1.2,0.7639558679078702,2.6487686191410917,0.8227956765170197,5.447756112092668,0.18912676435165637,1.2,2.4521503644349516
0.15000000000000002,column,-5.337000000000001,0.0,1.2,0.7409588975049533,2.626904886540183,0.8385848960807839,7.249152591968789,0.313442188036091,1.2,2.433424301053245
0.2,column,-5.316,0.0,1.2,0.7136773255448887,2.5976984465954986,0.8589238689801285,9.04987653977326,0.4680191255843129,1.2,2.424065706795692
0.25,column,-5.295,0.0,1.2,0.6844444537054457,2.561154684345337,0.8854356419640214,10.850134660185141,0.652497242645268,1.2,2.414369980149732
0.30000000000000004,column,-5.274,0.0,1.2,0.6550757549730492,2.5172814803847565,0.9190508287831572,12.45011898705313,0.8633293776514502,1.2,2.3091409957441003
0.35000000000000003,column,-5.253000000000001,0.0,1.2,0.6258325660314619,2.4660897412249962,0.9591112047682178,13.941886879975119,1.080282851183023,1.2,2.381175444284099
0.4,column,-5.232,0.0,1.2,0.5980485323150371,2.4148905982987126,1.0058985902703834,15.604284305585056,1.304474140142159,1.2,2.5406192537842243
0.45,column,-5.211000000000001,0.0,1.2,0.5721957702407388,2.36370583111671,1.0584503001914571,17.42456031272336,1.5354195437907419,1.2,2.6528080192151444
0.5,column,-5.1899999999999995,0.0,1.2,0.5487816056343361,2.3125432887244486,1.1163316960330867,18.817819502982363,1.7737047269526307,1.2,2.1817933052634726
0.55,column,-5.1690000000000005,0.0,1.2,0.5280388199229428,2.261410541382597,1.1781609781033684,20.072895263743675,2.019264068463309,1.2,2.0993942486312998
0.6000000000000001,column,-5.148,0.0,1.2,0.5100930850466311,2.21031391718628,1.2129401611739772,21.566056370460306,2.2704969266035375,1.2,2.2654813828621156
0.65,column,-5.127000000000001,0.0,1.2,0.49411872949683355,2.1592576310949356,1.1936695376669662,23.22944277899553,2.524400520075702,1.2,2.51913434031009
0.7000000000000001,column,-5.106,0.0,1.2,0.47964824057435623,2.1079216798300147,1.1878720339936295,25.026297042622147,2.775159553895391,1.2,2.6377831255471937
0.75,column,-5.085000000000001,0.0,1.2,0.46758570784451836,2.056354288533223,1.195110123825729,26.406380429536576,3.020362677038772,1.2,2.227891109062697
0.8,column,-5.064000000000001,0.0,1.2,0.45948214310505603,2.0044125656902727,1.2143720743954844,27.746926513810124,3.2601151771040393,1.2,2.174549235286892
0.8500000000000001,column,-5.043,0.0,1.2,0.4569004890743137,1.952207666533189,1.2439485858338595,29.27506022665782,3.488794275767362,1.2,2.3981219358099692
0.9,column,-5.022,0.0,1.2,0.45787528424822177,1.905804960891939,1.2858629613459782,30.759996570162336,3.7068285212129926,1.2,2.348102099386239
0.9500000000000001,column,-5.001,0.0,1.2,0.46152104292298723,1.8650508348004922,1.291541050897927,32.201382469327136,3.9148514667248877,1.2,2.2970435198501913
1.0,column,-4.98,0.0,1.2,0.4674952247907605,1.8297626130558757,1.292780355040145,33.6009902817872,4.113895946119962,1.2,2.2491107418579817
1.05,column,-4.9590000000000005,0.0,1.2,0.4750572131908247,1.7997315143714114,1.268199717283844,34.96345596727474,4.305292206471883,1.2,2.210782800208429
1.1,column,-4.938000000000001,0.0,1.2,0.483999292715316,1.7747256090963408,1.2388649807214411,36.27069449992956,4.491463639260336,1.2,2.159023887813377
1.1500000000000001,column,-4.917000000000001,0.0,1.2,0.4943343059010054,1.7541541411622716,1.2056961289867738,37.046958208374214,4.675208179526521,1.2,1.472196945506138
1.2000000000000002,column,-4.896000000000001,0.0,1.2,0.5055949247056561,1.736751647078018,1.170816358641337,37.763357136516504,4.858621479130882,1.2,1.3766308266678629
