time,mode,center_x,center_y,center_z,formation_error,min_obstacle_clearance,min_agent_distance,energy,path_length,max_height,avg_force_norm,min_pair_distance
0.0,column,-5.4,0.0,1.05,0.794399688893766,4.843654168723006,0.8037115436470766,1.8297747946611065,0.03192920950978327,1.05,2.5543367607826637,0.8037115436470766
0.05,column,-5.37903710381357,0.0,1.05,0.7818720167414657,4.836215655489296,0.8112511521882031,3.644358423138693,0.09520649305697812,1.05,2.508013437969862,0.8112511521882031
0.1,column,-5.358074207627138,0.0,1.05,0.7639795443105304,4.821348470816855,0.8227953962119989,5.447759866825054,0.18912713477620546,1.05,2.4521646906354215,0.8227953962119989
0.15000000000000002,column,-5.337111311440707,0.0,1.05,0.7409949767121781,4.799073197642949,0.8385841671578663,7.249158217320881,0.3134431336597229,1.05,2.433446679904913,0.8385841671578663
0.2,column,-5.3161484152542755,0.0,1.05,0.7137339389405677,4.769421315728712,0.858922346128591,9.049884163323226,0.46802106400597787,1.05,2.4240988962791925,0.858922346128591
0.25,column,-5.295185519067844,0.0,1.05,0.684542406646246,4.732400050453334,0.8854324453619608,10.850144247201793,0.6525008757507993,1.05,2.414424531287104,0.8854324453619608
0.30000000000000004,column,-5.274222622881413,0.0,1.05,0.6552092932925719,4.688018023379445,0.919045497327863,12.450198645810083,0.8633365954970331,1.05,2.3092376739206895,0.919045497327863
0.35000000000000003,column,-5.253259726694982,0.0,1.05,0.6259908785090192,4.636285241945064,0.9591030666031549,13.94200992029253,1.0802963611896428,1.05,2.3812291355219655,0.9591030666031549
0.4,column,-5.2322968305085515,0.0,1.05,0.5982243376984153,4.584578786575851,1.0058842884618948,15.604476113479409,1.3044922562897177,1.05,2.5406725698468025,1.0058842884618948
0.45,column,-5.21133393432212,0.0,1.05,0.5723830249699203,4.532911053659171,1.0584286628379402,17.425082707385286,1.535443521381722,1.05,2.6530238880120818,1.0584286628379402
0.5,column,-5.190371038135688,0.0,1.05,0.5489737591806063,4.481278478710911,1.1163013766591072,18.81869760962384,1.773735940422449,1.05,2.182031006018289,1.1163013766591072
0.55,column,-5.1694081419492575,0.0,1.05,0.5282290625101339,4.429677657716629,1.1781228392219478,20.07435213047483,2.0193046125466183,1.05,2.0998218492229737,1.1781228392219478
0.6000000000000001,column,-5.148445245762826,0.0,1.05,0.5102750845274769,4.378106186608365,1.2129142715035017,21.567318121741714,2.2705505282746006,1.05,2.2653208035963806,1.2129142715035017
0.65,column,-5.127482349576395,0.0,1.05,0.4942865981109129,4.326563404284081,1.1936423729778303,23.2302955646991,2.5244703249578895,1.05,2.518839829001974,1.1936423729778303
0.7000000000000001,column,-5.106519453389964,0.0,1.05,0.479794815621643,4.275330886675912,1.1878419541873542,25.027286225043966,2.775238850049367,1.05,2.637962684556103,1.1878419541873542
0.75,column,-5.085556557203533,0.0,1.05,0.4677048936647793,4.22443211029139,1.1950783540091494,26.40743702509534,3.0204539558097223,1.05,2.2279942999766176,1.1950783540091494
0.8,column,-5.064593661017102,0.0,1.05,0.45958048348778613,4.174202100998578,1.214340079351592,27.74801506612816,3.2602212029371094,1.05,2.1746314168776153,1.214340079351592
0.8500000000000001,column,-5.04363076483067,0.0,1.05,0.45701380111742396,4.1247071004268925,1.2439177881655616,29.276527265049666,3.48891414184678,1.05,2.3985311232921114,1.2439177881655616
0.9,column,-5.022667868644239,0.0,1.05,0.45801503343077393,4.080646402231176,1.285832416108799,30.761782700996037,3.706961738914691,1.05,2.3484549301677005,1.285832416108799
0.9500000000000001,column,-5.001704972457808,0.0,1.05,0.4616717257407986,4.041840292047159,1.291497675225889,32.203418252899446,3.9149979303547213,1.05,2.297309872592592,1.291497675225889
1.0,column,-4.980742076271378,0.0,1.05,0.4676432668586129,4.008085460921487,1.2927844667360444,33.6031944454737,4.114055013746867,1.05,2.2492496738790075,1.2927844667360444
1.05,column,-4.959779180084946,0.0,1.05,0.4751939095910732,3.97915815392283,1.2681838427638723,34.96573415285976,4.30546543665064,1.05,2.2107579210145873,1.2681838427638723
1.1,column,-4.938816283898515,0.0,1.05,0.48411666469979336,3.9548171660022478,1.2388256410751337,36.272902621002345,4.491643348766784,1.05,2.15882663367164,1.2388256410751337
1.1500000000000001,column,-4.917853387712084,0.0,1.05,0.49442510530011274,3.9344593862639377,1.2056309096555469,37.048931850596716,4.675385205565079,1.05,1.4718982532853104,1.2056309096555469
1.2000000000000002,column,-4.896890491525653,0.0,1.05,0.5056529705338251,3.9167878837014953,1.170725065960029,37.76496178912683,4.858793759997606,1.05,1.3758398674173493,1.170725065960029
1.25,column,-4.875927595339221,0.0,1.05,0.5183888010120483,3.900014502012824,1.1366567046064964,38.48850571844769,5.043980000795122,1.05,1.4240249149596707,1.1366567046064964
1.3,column,-4.854964699152791,0.0,1.05,0.5328680500164518,3.8817114732310216,1.10637914578222,39.32009268258675,5.2329165277137974,1.05,1.6306219916402032,1.10637914578222
1.35,column,-4.83400180296636,0.0,1.05,0.5492912636691203,3.8594076898449767,1.0800810826939806,40.134842011921506,5.424883296519614,1.05,1.6269938912295534,1.0800810826939806
1.4000000000000001,column,-4.813038906779928,0.0,1.05,0.5671592343256673,3.833347492220537,1.0578687419558286,41.36037194218719,5.613174020027215,1.05,2.082198879050277,1.0578687419558286
1.4500000000000002,column,-4.7920760105934965,0.0,1.05,0.5846243405913418,3.8037904737115458,1.0397183718045784,42.56225315122538,5.7973677122750695,1.05,2.045915510319342,1.0397183718045784
1.5,column,-4.771113114407066,0.0,1.05,0.6012832274146833,3.77100875044155,1.0257842342434345,43.74084229502845,5.977130627392732,1.05,2.00692210689278,1.0257842342434345
1.55,column,-4.750150218220635,0.0,1.05,0.616711968238197,3.7352842321496054,1.01602770099235,44.89678600337063,6.152301837253482,1.05,1.965650727166316,1.01602770099235
1.6,column,-4.729187322034203,0.0,1.05,0.6306944718649136,3.6969070385188036,1.0103778926285576,46.03107882508736,6.323110158513036,1.05,1.9227588544686607,1.0103778926285576
1.6500000000000001,column,-4.708224425847773,0.0,1.05,0.6430904602479358,3.6561733411551636,1.0087475534185593,47.13910610741678,6.490860585622115,1.05,1.8718676582300013,1.0087475534185593
1.7000000000000002,column,-4.687261529661342,0.0,1.05,0.6538376900591906,3.6133834139938745,1.011042107382718,48.22194954198721,6.659480810522094,1.05,1.8280567403209234,1.011042107382718
1.75,column,-4.666298633474909,0.0,1.05,0.6629335317773538,3.5688398595197306,1.013146937771864,49.12044081414417,6.833611558079619,1.05,1.674415023421942,1.013146937771864
1.8,column,-4.6453357372884785,0.0,1.05,0.6712450402758214,3.522845980367171,1.0152696723360533,49.98511609192027,7.015253022462879,1.05,1.633299894594352,1.0152696723360533
1.85,column,-4.624372841102048,0.0,1.05,0.67846675106896,3.475694647623139,1.0175153963251455,50.822992830885816,7.205230647618328,1.05,1.5970718032012463,1.0175153963251455
1.9000000000000001,column,-4.603409944915616,0.0,1.05,0.684343965197155,3.4276674505051465,1.0199170107786741,51.59505577919759,7.403764890605531,1.05,1.5329965269390953,1.0199170107786741
1.9500000000000002,column,-4.582447048729185,0.0,1.05,0.6887384851238221,3.3790342376768647,1.0224649519250382,52.286271430534896,7.610643807041504,1.05,1.458437225598852,1.0224649519250382
2.0,column,-4.5614841525427545,0.0,1.05,0.691613562318197,3.3300528834413177,1.0276575980175218,52.81102290790071,7.821742476731654,1.05,1.2739588794322838,1.0276575980175218
2.0500000000000003,column,-4.540521256356323,0.0,1.05,0.6927981121479547,3.2809692114768794,1.03995336118341,53.98798856691691,8.02855302651642,1.05,1.9396291645233084,1.03995336118341
2.1,column,-4.519558360169891,0.0,1.05,0.6917552224567581,3.2320185593301307,1.0590908770229366,55.4406696432615,8.22453924249964,1.05,2.14815647816014,1.0590908770229366
2.15,column,-4.498595463983461,0.0,1.05,0.689934103792917,3.1834167963200155,1.0848333835783142,56.8846644743754,8.411481790500108,1.05,2.1401856319275225,1.0848333835783142
2.2,column,-4.47763256779703,0.0,1.05,0.6873465400154313,3.1353593338448906,1.1031500546465345,58.04384509506255,8.589639225881871,1.05,1.9073095733617467,1.1031500546465345
2.25,column,-4.456669671610599,0.0,1.05,0.6843509751015724,3.0880205813517545,1.1112088178825839,59.11547731839468,8.76123229031133,1.05,1.8345029166532167,1.1112088178825839
2.3000000000000003,column,-4.435706775424167,0.0,1.05,0.6810534399841026,3.041558900747712,1.128436530582911,60.13995682860099,8.92763711934586,1.05,1.8533162016937776,1.128436530582911
2.35,column,-4.4147438792377365,0.0,1.05,0.6773219892285237,2.9974235290187563,1.1541908197119575,61.10269826202932,9.089040560330698,1.05,1.890409491968013,1.1541908197119575
2.4000000000000004,column,-4.393780983051304,0.0,1.05,0.6730228911805293,2.958711015669377,1.1849062350987762,62.47352113198466,9.236916556177817,1.05,2.194433790016349,1.1849062350987762
2.45,column,-4.372818086864873,0.0,1.05,0.6685524955984301,2.927199977216187,1.2168332298640148,63.83956202656117,9.371229137812811,1.05,2.1664946829952427,1.2168332298640148
2.5,column,-4.351855190678442,0.0,1.05,0.6634634447867438,2.9028733936608218,1.2476181591258708,65.29802834129734,9.490907202624532,1.05,2.2028887046757255,1.2476181591258708
2.5500000000000003,column,-4.330892294492012,0.0,1.05,0.6578170700525964,2.885725853431148,1.2352848907721852,66.7042615825072,9.59723559141937,1.05,2.1318844977749545,1.2352848907721852
2.6,column,-4.309929398305581,0.0,1.05,0.6515170137018534,2.875598435065146,1.2031838734191542,67.95700554545654,9.692579265490991,1.05,1.9967650224163964,1.2031838734191542
2.6500000000000004,column,-4.288966502119148,0.0,1.05,0.6447134346749621,2.8720079002501286,1.1670021138073776,69.13508479760864,9.787071168920196,1.05,1.9997411002366907,1.1670021138073776
