time,mode,center_x,center_y,center_z,formation_error,min_obstacle_clearance,min_pair_distance,total_energy,total_path_length,avg_force_norm
0.0,normal,-5.4,0.0,1.2,0.006395848403360549,2.7006154910302964,0.8085000039213607,1.8313391916886421,0.031979242016802745,2.558339361344278
0.05,normal,-5.379,0.0,1.2,0.024007348398711166,2.697482798882861,0.8256817619819631,3.6009365308528607,0.09546318787809388,2.520537007244431
0.1,normal,-5.3580000000000005,0.0,1.2,0.047675906649553956,2.692678091279098,0.8515190180855002,5.231435302623012,0.18930478959885816,2.4291953935841755
0.15000000000000002,normal,-5.337,0.0,1.2,0.07432906824520695,2.686110951722114,0.8855338097731921,6.636772347972846,0.3115132867282929,2.2707547653738596
0.2,normal,-5.316000000000001,0.0,1.2,0.1033477845385006,2.677696007124033,0.9293326428418462,7.687101965668702,0.4570496808971271,1.9812162262573914
0.25,normal,-5.295,0.0,1.2,0.13300659775730753,2.667370596231301,0.9842549839001536,8.292842688847319,0.6136925780076162,1.3364405396880272
0.30000000000000004,normal,-5.274000000000001,0.0,1.2,0.1619800352756146,2.6551962319552898,1.0504440423989971,9.050579881724696,0.7753083181874151,1.4604745386677251
0.35000000000000003,normal,-5.253,0.0,1.2,0.18987789415672793,2.6413899688039795,1.1268842803596935,9.8154721784955,0.9396936204886419,1.5877555858545134
0.4,normal,-5.232000000000001,0.0,1.2,0.2165340689975082,2.6262977647488013,1.209951219871474,10.334038394268259,1.1045711407272913,1.317777222319094
0.45,normal,-5.211,0.0,1.2,0.2409259370778269,2.6103262865778474,1.2502383117985207,10.706735474198906,1.260170406217265,1.1260778916446057
0.5,normal,-5.190000000000001,0.0,1.2,0.2625743577871441,2.5938847761368775,1.2591588933868176,11.24940608086027,1.402728248521348,1.2643449757455505
0.55,normal,-5.1690000000000005,0.0,1.2,0.28146529790533703,2.5773444277289252,1.267934839196698,11.782830983579128,1.5325241304636439,1.2152981933657603
0.6000000000000001,normal,-5.148000000000001,0.0,1.2,0.2976422062836324,2.5610152585310546,1.276048984458692,12.305458362546245,1.6501758883882989,1.2007609180873138
0.65,normal,-5.127000000000001,0.0,1.2,0.3112071752476811,2.5451385331577674,1.283252446320698,12.81084350382773,1.7566753596893518,1.2002632582082675
0.7000000000000001,normal,-5.106,0.0,1.2,0.32225014130810564,2.529801199875391,1.2894427684053773,13.293114841458562,1.8537041452975043,1.1773538907419625
0.75,normal,-5.085000000000001,0.0,1.2,0.33085179920026336,2.514967724830833,1.2946353652674514,13.746523348876075,1.9436631797138881,1.1360881376659795
0.8,normal,-5.064,0.0,1.2,0.33711138702340593,2.5006018535828467,1.2988552128198512,14.16774107408275,2.029403221867853,1.089693662023508
0.8500000000000001,normal,-5.043,0.0,1.2,0.3411440326594729,2.486666909878485,1.3021355305871376,14.554355886161623,2.113826760786025,1.0387969515306774
0.9,normal,-5.022,0.0,1.2,0.3430787189253447,2.47312607703794,1.3045097586832075,14.904848659541283,2.199405810464042,0.9840221163644742
0.9500000000000001,normal,-5.001,0.0,1.2,0.3430566257304518,2.459942661662579,1.3060225323830774,15.218548447675973,2.2879445934711238,0.9259877947141819
1.0,normal,-4.98,0.0,1.2,0.3412297014149191,2.4470803394945095,1.3067349722571109,15.495569412404834,2.380618905702547,0.865304800009785
1.05,normal,-4.9590000000000005,0.0,1.2,0.33775935140778646,2.4345033833470424,1.3067010426091994,15.736733320908646,2.478120112171405,0.8025747511055015
1.1,normal,-4.938000000000001,0.0,1.2,0.3328151337066898,2.422176873098179,1.3059772120523114,15.943481362383384,2.5807894563017477,0.7383900858557947
1.1500000000000001,normal,-4.917,0.0,1.2,0.3265733290244841,2.410066887798159,1.3046215440373035,16.117778884936456,2.6887165943931124,0.6733361364241894
1.2000000000000002,normal,-4.896000000000001,0.0,1.2,0.31921521863489755,2.398140679990937,1.302692868305955,16.26201642428107,2.801808932658366,0.6079964303310146
1.25,normal,-4.875,0.0,1.2,0.3109248708025874,2.386366832391846,1.300250035069141,16.378910104431682,2.919841610154113,0.5429632055299963
1.3,normal,-4.854000000000001,0.0,1.2,0.3018862353716824,2.374715397102621,1.2973512528652178,16.471404151606926,3.0424948040435136,0.47885638121410967
1.35,normal,-4.833,0.0,1.2,0.2922794172289697,2.363158017582842,1.2928346972606068,16.542577890302468,3.1693823082904977,0.4163554418197286
1.4000000000000001,normal,-4.812,0.0,1.2,0.28227618485550426,2.3516680336354856,1.268611978543914,16.595559198611255,3.3000737836378438,0.35624675584543497
1.4500000000000002,normal,-4.791,0.0,1.2,0.27196878299088495,2.340220569705097,1.2443156075709363,16.635985522167832,3.4345213749873738,0.3278971529214188
1.5,normal,-4.77,0.0,1.2,0.2614548937683027,2.328792606830615,1.2217506029883274,16.68526219086337,3.5722876503609657,0.39735914032341585
1.55,normal,-4.7490000000000006,0.0,1.2,0.2507280753465656,2.317363038641563,1.202567048332566,16.80273063710027,3.7132145287184053,0.5992275648066725
1.6,normal,-4.728,0.0,1.2,0.23966298554301466,2.3057588621832457,1.1882069289881667,17.036442113305895,3.857814123680161,0.8631412358561545
1.6500000000000001,normal,-4.707,0.0,1.2,0.22818943815612078,2.29371630935581,1.1804845098042989,17.378569932813175,4.006610526260326,1.0629555926279788
1.7000000000000002,normal,-4.686,0.0,1.2,0.21668386073590007,2.280912312452955,1.1793668897101999,17.785111711317917,4.157989574908527,1.198387217588053
1.75,normal,-4.665000000000001,0.0,1.2,0.20567242852491616,2.2669765665171653,1.1555489945919417,18.36791686779874,4.3093318111294225,1.4635085636862921
1.8,normal,-4.644,0.0,1.2,0.19569449010459605,2.2515237601949014,1.1326457473980167,19.319070986611873,4.4586041733839,1.777003708701662
1.85,normal,-4.623,0.0,1.2,0.1868926382384255,2.2342043765925705,1.123761562643761,20.28851692827809,4.6074033022041725,1.748982335421546
1.9000000000000001,normal,-4.602,0.0,1.2,0.17947658751547935,2.21457350389268,1.1283352401297428,21.16322923287591,4.758699885555781,1.6350839712131875
1.9500000000000002,normal,-4.581,0.0,1.2,0.1739078307109681,2.192689785948277,1.1457323230984744,21.958669854822194,4.91535941247372,1.5473292571531254
2.0,normal,-4.5600000000000005,0.0,1.2,0.17060702619819962,2.1687015060055925,1.17342984145579,22.515987205726894,5.078384235880036,1.3172384537674278
2.0500000000000003,normal,-4.539,0.0,1.2,0.16940884059560837,2.142975274272124,1.2058464849790937,22.710726770868945,5.2454847447428685,0.822387946157986
2.1,normal,-4.518000000000001,0.0,1.2,0.16962997767034166,2.1160425267528966,1.2194989411373842,22.780588678560896,5.413730837423368,0.46637906805941826
